id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
MGA_00000000057	12	7	687	0	100.00%	100%
Prodigal_00000000058	12	7	687	0	100.00%	100%
Glimmer_00000000059	12	7	684	0	100.00%	99%
HTVC010P_glimmer_00000000059	12	7	684	0	100.00%	99%
GeneMark_00000000023	13	1	669	1	100	100%
GeneMarkS2_00000000030	14	8	654	1	100	100%
GeneMarkS_00000000031	14	8	654	0	100.00%	100%
GeneMark_00000000030	14	8	654	0	100.00%	100%
HTVC010P_Prodigal_00000000031	14	8	654	0	100.00%	100%
MGA_00000000032	14	8	654	0	100.00%	100%
Prodigal_00000000031	14	8	654	0	100.00%	100%
Glimmer_00000000031	14	8	651	0	100.00%	99%
HTVC010P_glimmer_00000000031	14	8	651	0	100.00%	99%
GeneMarkS2_00000000027	15	8	651	1	100	100%
GeneMarkS_00000000028	15	8	651	0	100.00%	100%
GeneMark_00000000027	15	8	651	0	100.00%	100%
HTVC010P_Prodigal_00000000028	15	8	651	0	100.00%	100%
MGA_00000000029	15	8	651	0	100.00%	100%
Prodigal_00000000028	15	8	651	0	100.00%	100%
Glimmer_00000000028	15	8	648	0	100.00%	99%
HTVC010P_glimmer_00000000028	15	8	648	0	100.00%	99%
GeneMarkS2_00000000025	16	7	639	1	100	100%
GeneMarkS_00000000026	16	7	639	0	100.00%	100%
HTVC010P_Prodigal_00000000026	16	7	639	0	100.00%	100%
MGA_00000000027	16	7	639	0	100.00%	100%
Prodigal_00000000026	16	7	639	0	100.00%	100%
Glimmer_00000000026	16	7	636	0	100.00%	99%
HTVC010P_glimmer_00000000026	16	7	636	0	100.00%	99%
GeneMarkS2_00000000031	17	8	627	1	100	100%
GeneMarkS_00000000032	17	8	627	0	100.00%	100%
GeneMark_00000000031	17	8	627	0	100.00%	100%
HTVC010P_Prodigal_00000000032	17	8	627	0	100.00%	100%
MGA_00000000033	17	8	627	0	100.00%	100%
Prodigal_00000000032	17	8	627	0	100.00%	100%
Glimmer_00000000032	17	8	624	0	100.00%	99%
HTVC010P_glimmer_00000000032	17	8	624	0	100.00%	99%
GeneMarkS2_00000000032	18	8	618	1	100	100%
GeneMarkS_00000000033	18	8	618	0	100.00%	100%
GeneMark_00000000032	18	8	618	0	100.00%	100%
HTVC010P_Prodigal_00000000033	18	8	618	0	100.00%	100%
MGA_00000000034	18	8	618	0	100.00%	100%
Prodigal_00000000033	18	8	618	0	100.00%	100%
Glimmer_00000000033	18	8	615	0	100.00%	99%
HTVC010P_glimmer_00000000033	18	8	615	0	100.00%	99%
GeneMarkS2_00000000012	19	8	582	1	100	100%
GeneMarkS_00000000013	19	8	582	0	100.00%	100%
GeneMark_00000000012	19	8	582	0	100.00%	100%
HTVC010P_Prodigal_00000000013	19	8	582	0	100.00%	100%
MGA_00000000013	19	8	582	0	100.00%	100%
Prodigal_00000000013	19	8	582	0	100.00%	100%
Glimmer_00000000013	19	8	579	0	100.00%	99%
HTVC010P_glimmer_00000000013	19	8	579	0	100.00%	99%
GeneMarkS2_00000000051	20	1	579	1	100	100%
GeneMarkS2_00000000023	21	7	537	1	100	100%
GeneMarkS_00000000024	21	7	537	0	100.00%	100%
HTVC010P_Prodigal_00000000024	21	7	537	0	100.00%	100%
MGA_00000000025	21	7	537	0	100.00%	100%
Prodigal_00000000024	21	7	537	0	100.00%	100%
Glimmer_00000000024	21	7	534	0	100.00%	99%
HTVC010P_glimmer_00000000024	21	7	534	0	100.00%	99%
GeneMarkS2_00000000044	22	8	534	1	100	100%
GeneMarkS_00000000047	22	8	534	0	100.00%	100%
GeneMark_00000000044	22	8	534	0	100.00%	100%
HTVC010P_Prodigal_00000000048	22	8	534	0	100.00%	100%
MGA_00000000047	22	8	534	0	100.00%	100%
Prodigal_00000000048	22	8	534	0	100.00%	100%
Glimmer_00000000049	22	8	531	0	100.00%	99%
HTVC010P_glimmer_00000000049	22	8	531	0	100.00%	99%
GeneMarkS2_00000000011	23	8	498	1	100	100%
GeneMarkS_00000000011	23	8	498	0	100.00%	100%
GeneMark_00000000010	23	8	498	0	100.00%	100%
HTVC010P_Prodigal_00000000011	23	8	498	0	100.00%	100%
MGA_00000000011	23	8	498	0	100.00%	100%
Prodigal_00000000011	23	8	498	0	100.00%	100%
Glimmer_00000000011	23	8	495	0	100.00%	99%
HTVC010P_glimmer_00000000011	23	8	495	0	100.00%	99%
GeneMarkS2_00000000037	24	8	486	1	100	100%
GeneMarkS_00000000038	24	8	486	0	100.00%	100%
GeneMark_00000000036	24	8	486	0	100.00%	100%
HTVC010P_Prodigal_00000000038	24	8	486	0	100.00%	100%
MGA_00000000039	24	8	486	0	100.00%	100%
Prodigal_00000000038	24	8	486	0	100.00%	100%
Glimmer_00000000038	24	8	483	0	100.00%	99%
HTVC010P_glimmer_00000000038	24	8	483	0	100.00%	99%
GeneMarkS2_00000000052	25	6	474	1	100	100%
GeneMark_00000000053	25	6	474	0	100.00%	100%
HTVC010P_Prodigal_00000000059	25	6	474	0	100.00%	100%
Prodigal_00000000059	25	6	474	0	100.00%	100%
Glimmer_00000000060	25	6	471	0	100.00%	99%
HTVC010P_glimmer_00000000060	25	6	471	0	100.00%	99%
GeneMarkS2_00000000014	26	8	456	1	100	100%
GeneMarkS_00000000015	26	8	456	0	100.00%	100%
GeneMark_00000000014	26	8	456	0	100.00%	100%
HTVC010P_Prodigal_00000000015	26	8	456	0	100.00%	100%
Prodigal_00000000015	26	8	456	0	100.00%	100%
MGA_00000000015	26	8	453	0	100.00%	99%
Glimmer_00000000015	26	8	450	0	100.00%	98%
HTVC010P_glimmer_00000000015	26	8	450	0	100.00%	98%
GeneMarkS2_00000000015	27	8	435	1	100	100%
GeneMarkS_00000000016	27	8	435	0	100.00%	100%
GeneMark_00000000015	27	8	435	0	100.00%	100%
HTVC010P_Prodigal_00000000016	27	8	435	0	100.00%	100%
MGA_00000000016	27	8	435	0	100.00%	100%
Prodigal_00000000016	27	8	435	0	100.00%	100%
Glimmer_00000000016	27	8	432	0	100.00%	99%
HTVC010P_glimmer_00000000016	27	8	432	0	100.00%	99%
GeneMarkS2_00000000018	28	8	435	1	100	100%
GeneMarkS_00000000019	28	8	435	0	100.00%	100%
GeneMark_00000000018	28	8	435	0	100.00%	100%
HTVC010P_Prodigal_00000000019	28	8	435	0	100.00%	100%
MGA_00000000020	28	8	435	0	100.00%	100%
Prodigal_00000000019	28	8	435	0	100.00%	100%
Glimmer_00000000019	28	8	432	0	100.00%	99%
HTVC010P_glimmer_00000000019	28	8	432	0	100.00%	99%
GeneMarkS_00000000059	29	1	417	1	100	100%
GeneMarkS_00000000068	30	5	414	1	100	100%
GeneMark_00000000059	30	5	414	0	100.00%	100%
MGA_00000000065	30	5	414	0	100.00%	100%
HTVC010P_Prodigal_00000000066	30	5	387	0	96.12%	93%
Prodigal_00000000066	30	5	387	0	96.12%	93%
HTVC010P_Prodigal_00000000043	31	6	384	1	100	100%
Prodigal_00000000043	31	6	384	0	100.00%	100%
GeneMarkS2_00000000040	31	6	372	0	100.00%	96%
GeneMarkS_00000000042	31	6	372	0	100.00%	96%
GeneMark_00000000039	31	6	372	0	100.00%	96%
MGA_00000000042	31	6	372	0	100.00%	96%
GeneMarkS_00000000057	32	4	381	1	100	100%
HTVC010P_Prodigal_00000000057	32	4	381	0	100.00%	100%
MGA_00000000056	32	4	381	0	100.00%	100%
Prodigal_00000000057	32	4	381	0	100.00%	100%
GeneMarkS2_00000000057	33	3	372	1	100	100%
Glimmer_00000000066	33	3	369	0	100.00%	99%
HTVC010P_glimmer_00000000066	33	3	369	0	100.00%	99%
GeneMarkS2_00000000038	34	3	369	1	100	100%
GeneMarkS_00000000039	34	3	369	0	100.00%	100%
GeneMark_00000000037	34	3	369	0	100.00%	100%
GeneMarkS2_00000000024	35	8	366	1	100	100%
GeneMarkS_00000000025	35	8	366	0	100.00%	100%
GeneMark_00000000024	35	8	366	0	100.00%	100%
HTVC010P_Prodigal_00000000025	35	8	366	0	100.00%	100%
MGA_00000000026	35	8	366	0	100.00%	100%
Prodigal_00000000025	35	8	366	0	100.00%	100%
Glimmer_00000000025	35	8	363	0	100.00%	99%
HTVC010P_glimmer_00000000025	35	8	363	0	100.00%	99%
GeneMarkS2_00000000039	36	8	363	1	100	100%
GeneMarkS_00000000041	36	8	363	0	100.00%	100%
GeneMark_00000000038	36	8	363	0	100.00%	100%
HTVC010P_Prodigal_00000000042	36	8	363	0	100.00%	100%
MGA_00000000041	36	8	363	0	100.00%	100%
Prodigal_00000000042	36	8	363	0	100.00%	100%
Glimmer_00000000041	36	8	360	0	100.00%	99%
HTVC010P_glimmer_00000000041	36	8	360	0	100.00%	99%
GeneMarkS_00000000022	37	8	348	1	100	100%
GeneMark_00000000021	37	8	348	0	100.00%	100%
GeneMarkS2_00000000021	37	8	321	0	100.00%	92%
HTVC010P_Prodigal_00000000022	37	8	321	0	100.00%	92%
MGA_00000000023	37	8	321	0	100.00%	92%
Prodigal_00000000022	37	8	321	0	100.00%	92%
Glimmer_00000000022	37	8	318	0	100.00%	91%
HTVC010P_glimmer_00000000022	37	8	318	0	100.00%	91%
GeneMarkS2_00000000046	38	8	336	1	100	100%
GeneMarkS_00000000051	38	8	336	0	100.00%	100%
GeneMark_00000000047	38	8	336	0	100.00%	100%
HTVC010P_Prodigal_00000000052	38	8	336	0	100.00%	100%
MGA_00000000050	38	8	336	0	100.00%	100%
Prodigal_00000000052	38	8	336	0	100.00%	100%
Glimmer_00000000053	38	8	333	0	100.00%	99%
HTVC010P_glimmer_00000000053	38	8	333	0	100.00%	99%
GeneMark_00000000025	39	1	324	1	100	100%
MGA_00000000058	40	1	324	1	100	100%
GeneMarkS2_00000000029	41	8	315	1	100	100%
GeneMarkS_00000000030	41	8	315	0	100.00%	100%
GeneMark_00000000029	41	8	315	0	100.00%	100%
HTVC010P_Prodigal_00000000030	41	8	315	0	100.00%	100%
MGA_00000000031	41	8	315	0	100.00%	100%
Prodigal_00000000030	41	8	315	0	100.00%	100%
Glimmer_00000000030	41	8	312	0	100.00%	99%
HTVC010P_glimmer_00000000030	41	8	312	0	100.00%	99%
GeneMarkS_00000000060	42	1	315	1	100	100%
HTVC010P_Prodigal_00000000040	43	5	309	1	100	100%
Prodigal_00000000040	43	5	309	0	100.00%	100%
MGA_00000000040	43	5	300	0	100.00%	97%
Glimmer_00000000039	43	5	297	0	100.00%	96%
HTVC010P_glimmer_00000000039	43	5	297	0	100.00%	96%
GeneMarkS2_00000000036	44	8	306	1	100	100%
GeneMarkS_00000000037	44	8	306	0	100.00%	100%
GeneMark_00000000035	44	8	306	0	100.00%	100%
HTVC010P_Prodigal_00000000037	44	8	306	0	100.00%	100%
MGA_00000000038	44	8	306	0	100.00%	100%
Prodigal_00000000037	44	8	306	0	100.00%	100%
Glimmer_00000000037	44	8	303	0	100.00%	99%
HTVC010P_glimmer_00000000037	44	8	303	0	100.00%	99%
Glimmer_00000000042	45	2	300	1	100	100%
HTVC010P_glimmer_00000000042	45	2	300	0	100.00%	100%
GeneMarkS2_00000000026	46	8	294	1	100	100%
GeneMarkS_00000000027	46	8	294	0	100.00%	100%
GeneMark_00000000026	46	8	294	0	100.00%	100%
HTVC010P_Prodigal_00000000027	46	8	294	0	100.00%	100%
MGA_00000000028	46	8	294	0	100.00%	100%
Prodigal_00000000027	46	8	294	0	100.00%	100%
Glimmer_00000000027	46	8	291	0	100.00%	98%
HTVC010P_glimmer_00000000027	46	8	291	0	100.00%	98%
GeneMarkS2_00000000033	47	8	294	1	100	100%
GeneMarkS_00000000034	47	8	294	0	100.00%	100%
GeneMark_00000000033	47	8	294	0	100.00%	100%
HTVC010P_Prodigal_00000000034	47	8	294	0	100.00%	100%
MGA_00000000035	47	8	294	0	100.00%	100%
Prodigal_00000000034	47	8	294	0	100.00%	100%
Glimmer_00000000034	47	8	291	0	100.00%	98%
HTVC010P_glimmer_00000000034	47	8	291	0	100.00%	98%
HTVC010P_Prodigal_00000000056	48	3	294	1	100	100%
Prodigal_00000000056	48	3	294	0	100.00%	100%
GeneMarkS_00000000055	48	3	267	0	100.00%	90%
GeneMarkS2_00000000042	49	8	282	1	100	100%
GeneMarkS_00000000044	49	8	282	0	100.00%	100%
GeneMark_00000000041	49	8	282	0	100.00%	100%
HTVC010P_Prodigal_00000000045	49	8	282	0	100.00%	100%
MGA_00000000044	49	8	282	0	100.00%	100%
Prodigal_00000000045	49	8	282	0	100.00%	100%
Glimmer_00000000044	49	8	279	0	100.00%	98%
HTVC010P_glimmer_00000000044	49	8	279	0	100.00%	98%
GeneMarkS2_00000000049	50	5	282	1	100	100%
GeneMark_00000000051	50	5	282	0	100.00%	100%
MGA_00000000054	50	5	282	0	100.00%	100%
Glimmer_00000000057	50	5	264	0	100.00%	93%
HTVC010P_glimmer_00000000057	50	5	264	0	100.00%	93%
MGA_00000000059	51	1	282	1	100	100%
GeneMarkS2_00000000001	52	8	279	1	100	100%
GeneMarkS_00000000001	52	8	279	0	100.00%	100%
GeneMark_00000000001	52	8	279	0	100.00%	100%
HTVC010P_Prodigal_00000000001	52	8	279	0	100.00%	100%
MGA_00000000001	52	8	279	0	100.00%	100%
Prodigal_00000000001	52	8	279	0	100.00%	100%
Glimmer_00000000001	52	8	276	0	100.00%	98%
HTVC010P_glimmer_00000000001	52	8	276	0	100.00%	98%
GeneMarkS_00000000054	53	2	276	1	100	100%
GeneMark_00000000050	53	2	276	0	100.00%	100%
GeneMarkS2_00000000045	54	8	264	1	100	100%
GeneMarkS_00000000048	54	8	264	0	100.00%	100%
GeneMark_00000000045	54	8	264	0	100.00%	100%
HTVC010P_Prodigal_00000000049	54	8	264	0	100.00%	100%
MGA_00000000048	54	8	264	0	100.00%	100%
Prodigal_00000000049	54	8	264	0	100.00%	100%
Glimmer_00000000050	54	8	261	0	100.00%	98%
HTVC010P_glimmer_00000000050	54	8	261	0	100.00%	98%
GeneMarkS2_00000000019	55	8	258	1	100	100%
GeneMarkS_00000000020	55	8	258	0	100.00%	100%
GeneMark_00000000019	55	8	258	0	100.00%	100%
HTVC010P_Prodigal_00000000020	55	8	258	0	100.00%	100%
MGA_00000000021	55	8	258	0	100.00%	100%
Prodigal_00000000020	55	8	258	0	100.00%	100%
Glimmer_00000000020	55	8	255	0	100.00%	98%
HTVC010P_glimmer_00000000020	55	8	255	0	100.00%	98%
GeneMark_00000000007	56	8	255	1	100	100%
MGA_00000000007	56	8	255	0	100.00%	100%
GeneMarkS2_00000000007	56	8	237	0	100.00%	92%
GeneMarkS_00000000007	56	8	237	0	100.00%	92%
HTVC010P_Prodigal_00000000007	56	8	237	0	100.00%	92%
Prodigal_00000000007	56	8	237	0	100.00%	92%
Glimmer_00000000008	56	8	234	0	100.00%	91%
HTVC010P_glimmer_00000000008	56	8	234	0	100.00%	91%
GeneMarkS2_00000000055	57	8	246	1	100	100%
GeneMarkS_00000000064	57	8	246	0	100.00%	100%
GeneMark_00000000057	57	8	246	0	100.00%	100%
HTVC010P_Prodigal_00000000062	57	8	246	0	100.00%	100%
MGA_00000000063	57	8	246	0	100.00%	100%
Prodigal_00000000062	57	8	246	0	100.00%	100%
Glimmer_00000000064	57	8	243	0	100.00%	98%
HTVC010P_glimmer_00000000064	57	8	243	0	100.00%	98%
GeneMarkS2_00000000005	58	8	243	1	100	100%
GeneMarkS_00000000005	58	8	243	0	100.00%	100%
GeneMark_00000000005	58	8	243	0	100.00%	100%
HTVC010P_Prodigal_00000000005	58	8	243	0	100.00%	100%
MGA_00000000005	58	8	243	0	100.00%	100%
Prodigal_00000000005	58	8	243	0	100.00%	100%
Glimmer_00000000006	58	8	240	0	100.00%	98%
HTVC010P_glimmer_00000000006	58	8	240	0	100.00%	98%
GeneMarkS_00000000035	59	4	234	1	100	100%
HTVC010P_Prodigal_00000000035	59	4	234	0	100.00%	100%
MGA_00000000036	59	4	234	0	100.00%	100%
Prodigal_00000000035	59	4	234	0	100.00%	100%
HTVC010P_Prodigal_00000000055	60	5	234	1	100	100%
MGA_00000000053	60	5	234	0	100.00%	100%
Prodigal_00000000055	60	5	234	0	100.00%	100%
Glimmer_00000000056	60	5	231	0	100.00%	98%
HTVC010P_glimmer_00000000056	60	5	231	0	100.00%	98%
GeneMarkS2_00000000054	61	8	231	1	100	100%
GeneMark_00000000055	61	8	231	0	100.00%	100%
HTVC010P_Prodigal_00000000061	61	8	231	0	100.00%	100%
MGA_00000000061	61	8	231	0	100.00%	100%
Prodigal_00000000061	61	8	231	0	100.00%	100%
Glimmer_00000000062	61	8	228	0	100.00%	98%
HTVC010P_glimmer_00000000062	61	8	228	0	100.00%	98%
GeneMarkS_00000000062	61	8	213	0	100.00%	92%
HTVC010P_Prodigal_00000000012	62	2	228	1	100	100%
Prodigal_00000000012	62	2	228	0	100.00%	100%
GeneMark_00000000011	63	1	225	1	100	100%
HTVC010P_Prodigal_00000000046	64	3	225	1	100	100%
Prodigal_00000000046	64	3	225	0	100.00%	100%
GeneMark_00000000042	64	3	207	0	97.10%	92%
GeneMarkS2_00000000004	65	8	222	1	100	100%
GeneMarkS_00000000004	65	8	222	0	100.00%	100%
GeneMark_00000000004	65	8	222	0	100.00%	100%
HTVC010P_Prodigal_00000000004	65	8	222	0	100.00%	100%
MGA_00000000004	65	8	222	0	100.00%	100%
Prodigal_00000000004	65	8	222	0	100.00%	100%
Glimmer_00000000004	65	8	219	0	100.00%	98%
HTVC010P_glimmer_00000000004	65	8	219	0	100.00%	98%
GeneMarkS2_00000000041	66	8	213	1	100	100%
GeneMarkS_00000000043	66	8	213	0	100.00%	100%
GeneMark_00000000040	66	8	213	0	100.00%	100%
HTVC010P_Prodigal_00000000044	66	8	213	0	100.00%	100%
MGA_00000000043	66	8	213	0	100.00%	100%
Prodigal_00000000044	66	8	213	0	100.00%	100%
Glimmer_00000000043	66	8	210	0	100.00%	98%
HTVC010P_glimmer_00000000043	66	8	210	0	100.00%	98%
GeneMarkS2_00000000034	67	3	210	1	100	100%
Glimmer_00000000035	67	3	207	0	100.00%	98%
HTVC010P_glimmer_00000000035	67	3	207	0	100.00%	98%
GeneMarkS2_00000000053	68	8	204	1	100	100%
GeneMarkS_00000000061	68	8	204	0	100.00%	100%
GeneMark_00000000054	68	8	204	0	100.00%	100%
HTVC010P_Prodigal_00000000060	68	8	204	0	100.00%	100%
MGA_00000000060	68	8	204	0	100.00%	100%
Prodigal_00000000060	68	8	204	0	100.00%	100%
Glimmer_00000000061	68	8	201	0	100.00%	98%
HTVC010P_glimmer_00000000061	68	8	201	0	100.00%	98%
MGA_00000000018	69	1	204	1	100	100%
GeneMarkS2_00000000043	70	5	201	1	100	100%
GeneMarkS_00000000045	70	5	201	0	100.00%	100%
MGA_00000000045	70	5	201	0	100.00%	100%
Glimmer_00000000045	70	5	198	0	100.00%	98%
HTVC010P_glimmer_00000000045	70	5	198	0	100.00%	98%
GeneMarkS_00000000012	71	4	201	1	100	100%
MGA_00000000012	71	4	201	0	100.00%	100%
Glimmer_00000000012	71	4	198	0	100.00%	98%
HTVC010P_glimmer_00000000012	71	4	198	0	100.00%	98%
GeneMarkS_00000000063	72	5	198	1	100	100%
GeneMark_00000000056	72	5	198	0	100.00%	100%
MGA_00000000062	72	5	198	0	100.00%	100%
Glimmer_00000000063	72	5	195	0	100.00%	98%
HTVC010P_glimmer_00000000063	72	5	195	0	100.00%	98%
GeneMarkS2_00000000035	73	7	195	1	100	100%
GeneMarkS_00000000036	73	7	195	0	100.00%	100%
HTVC010P_Prodigal_00000000036	73	7	195	0	100.00%	100%
MGA_00000000037	73	7	195	0	100.00%	100%
Prodigal_00000000036	73	7	195	0	100.00%	100%
Glimmer_00000000036	73	7	192	0	100.00%	98%
HTVC010P_glimmer_00000000036	73	7	192	0	100.00%	98%
Glimmer_00000000005	74	2	195	1	100	100%
HTVC010P_glimmer_00000000005	74	2	195	0	100.00%	100%
GeneMarkS2_00000000002	75	8	189	1	100	100%
GeneMarkS_00000000002	75	8	189	0	100.00%	100%
GeneMark_00000000002	75	8	189	0	100.00%	100%
HTVC010P_Prodigal_00000000002	75	8	189	0	100.00%	100%
MGA_00000000002	75	8	189	0	100.00%	100%
Prodigal_00000000002	75	8	189	0	100.00%	100%
Glimmer_00000000002	75	8	186	0	100.00%	98%
HTVC010P_glimmer_00000000002	75	8	186	0	100.00%	98%
GeneMarkS2_00000000056	76	8	183	1	100	100%
GeneMarkS_00000000066	76	8	183	0	100.00%	100%
GeneMark_00000000058	76	8	183	0	100.00%	100%
HTVC010P_Prodigal_00000000064	76	8	183	0	100.00%	100%
MGA_00000000064	76	8	183	0	100.00%	100%
Prodigal_00000000064	76	8	183	0	100.00%	100%
Glimmer_00000000065	76	8	180	0	100.00%	98%
HTVC010P_glimmer_00000000065	76	8	180	0	100.00%	98%
HTVC010P_Prodigal_00000000047	77	2	183	1	100	100%
Prodigal_00000000047	77	2	183	0	100.00%	100%
GeneMarkS_00000000050	78	6	180	1	100	100%
HTVC010P_Prodigal_00000000051	78	6	180	0	100.00%	100%
MGA_00000000049	78	6	180	0	100.00%	100%
Prodigal_00000000051	78	6	180	0	100.00%	100%
Glimmer_00000000052	78	6	177	0	100.00%	98%
HTVC010P_glimmer_00000000052	78	6	177	0	100.00%	98%
GeneMarkS2_00000000009	79	5	177	1	100	100%
GeneMarkS_00000000009	79	5	177	0	100.00%	100%
HTVC010P_Prodigal_00000000009	79	5	177	0	100.00%	100%
MGA_00000000009	79	5	177	0	100.00%	100%
Prodigal_00000000009	79	5	177	0	100.00%	100%
GeneMarkS2_00000000050	80	5	174	1	100	100%
GeneMarkS_00000000056	80	5	174	0	100.00%	100%
MGA_00000000055	80	5	174	0	100.00%	100%
Glimmer_00000000058	80	5	171	0	100.00%	98%
HTVC010P_glimmer_00000000058	80	5	171	0	100.00%	98%
HTVC010P_Prodigal_00000000065	81	2	174	1	100	100%
Prodigal_00000000065	81	2	174	0	100.00%	100%
Glimmer_00000000048	82	2	168	1	100	100%
HTVC010P_glimmer_00000000048	82	2	168	0	100.00%	100%
GeneMark_00000000043	83	3	144	1	100	100%
Glimmer_00000000046	83	3	141	0	100.00%	97%
HTVC010P_glimmer_00000000046	83	3	141	0	100.00%	97%
GeneMarkS_00000000046	84	4	141	1	100	100%
MGA_00000000046	84	4	141	0	100.00%	100%
Glimmer_00000000047	84	4	138	0	100.00%	97%
HTVC010P_glimmer_00000000047	84	4	138	0	100.00%	97%
